"Address"	"Total Balance"	"delphi"	"dex"
"0x043500bb7086c4b6457cd8362fd7306b1c90db00"	0,581666621726021571	0,581666621726021571	0
"0xe8b87679bf143ddc835ced7670b6f594a501fd80"	18,547877655469683589	18,547877655469683589	0
"0x5780837c1d9ac3cd9b72203c8a0cfac73a9fc0b8"	474872,391235691029578447	474872,391235691029578447	0
"0x4dab9b8fca17a37e5ef0eef7d1ac09e2ac1580fb"	2130,561810415634681704	2130,561810415634681704	0
"0xe6cb0096927fde2cc0ba3b8dda6913e54198952e"	1983,155809060855972348	1983,155809060855972348	0
"0x278aea15fd6074ad8c5f890a05bb28e336be3be5"	196,166983570807815340	196,166983570807815340	0
"0x6b6582abce056d5394c18392539ee72d8979e160"	1196,999380884032689210	1196,999380884032689210	0
"0xc1723b93e1aadfd00806079edf11d70461c49da0"	494,227009106263722060	494,227009106263722060	0
"0x8b9fa7432c73c7135e3ec3014cc0b39720634fc2"	26495,409414022600685712	26495,409414022600685712	0
"0xa14f9b86da08467dd05b8c6e2c3a2f2c6214c60f"	1877,273258502499629685	1877,273258502499629685	0
"0x52cc6357cebe1b5114aea23e62cd773d6004b71d"	1833,935852413838802022	1833,935852413838802022	0
"0x3c3b04835a0fc640f78e63dede6b3d4ac55d688c"	546,428625800745066954	546,428625800745066954	0
"0x813413997503e41173f210c908cdb3528835cd42"	73,421353409278211188	73,421353409278211188	0
"0xf53feaeb035361c046e5669745695e450ebb4028"	22,193441319015601465	22,193441319015601465	0
"0x4ee92dbb71e04bdb8c7f83b08fc5b26659f97a4f"	4544,854984864641664899	4544,854984864641664899	0
"0x399abd36b9c7cef008f75d8805ee5fdf05d41773"	73,849368674995488959	73,849368674995488959	0
"0xfac44bfdc053a9615c6b0527f44416914628a0c4"	1769,294570086782641738	1769,294570086782641738	0
"0xcee32df0cb1ae7a8770ea9f10aea96fab9031f05"	0,360751500398722058	0,360751500398722058	0
"0xdb9a122beafa7518947437477b82ac3f08727ece"	668,145424280244242254	668,145424280244242254	0
"0x5d47e5d242a8f66a6286b0a2353868875f5d6068"	86,670067563981106673	86,670067563981106673	0
"0x5e38b802525de11a54506801b296d2aa93d033ef"	1226,648829678273841637	1226,648829678273841637	0
"0x397b25001f0fc0f3dbabce5739fd69254b74568d"	0,361302543778217577	0,361302543778217577	0
"0x45a5068955fce555922009b90a8f13bca8f1547c"	0,529668582569556179	0,529668582569556179	0
"0x2cad80ba1244320733ae568ce6bdea064a9de3ab"	0,300799843335470385	0,300799843335470385	0
"0x5c538d3e8ea308a52563694ce265b46c86f869dd"	0,422319978936833040	0,422319978936833040	0
"0x4d9e4c43ab331142aa4465205696f0017255c56b"	0,256851504818157217	0,256851504818157217	0
"0xbbfb6566ad064c233af6314aeb1eee4c26a5f921"	7859,596583595150150359	7859,596583595150150359	0
"0x1e1a575fe7bdf0d6265e4127787d3ac93d539239"	4,732766477489221302	4,732766477489221302	0
"0x8d54eb6815574bd426be06f9748d8b5b6638c61a"	110,906087564132960210	110,906087564132960210	0
"0xb5184bc3d68447fdba1da2f550a363e4465d666c"	771,679851183945288540	771,679851183945288540	0
"0xc67e60380e06ec8b20b3def2b86ab0966af1f060"	1434,470655287876979855	1434,470655287876979855	0
"0x53844b5f02e634a6e70b9c67c813af79060c70c3"	0,248531811192705510	0,248531811192705510	0
"0x2e614cfb16cea25bed9f07fcefcce7dfc73cd39f"	1386,525250982622310403	1386,525250982622310403	0
"0xaf9df16c45e28a2ad96699cc11b104c12897f625"	14033,561234658929606667	14033,561234658929606667	0
